2026-07-05 14:20:06 | INFO  | part3_hmm | config=Part3Config(corpus_name='brown', tagset='universal', seed=42, train_ratio=0.8, laplace_alpha=1.0, decode_log_every=500, error_examples=10, top_k=5, log_file='part3_hmm.log')
2026-07-05 14:20:06 | INFO  | part3_hmm | --- load and split tagged corpus ---
2026-07-05 14:20:07 | INFO  | part3_hmm | sentences total=57,340 train=45,872 test=11,468
2026-07-05 14:20:07 | INFO  | part3_hmm | train_tokens=929,015 test_tokens=232,177
2026-07-05 14:20:07 | INFO  | part3_hmm | --- fit HMM ---
2026-07-05 14:20:08 | INFO  | part3_hmm | fit 1/1 sentences=45872 tags=12 vocab=50630 trans_contexts=13 elapsed_s=0.4790
2026-07-05 14:20:08 | INFO  | part3_hmm | top NOUN->: [('.', 0.2836201228774173), ('ADP', 0.24387766668933777), ('VERB', 0.15869323720782608), ('NOUN', 0.14994672289101998), ('CONJ', 0.0596567593915074)]
2026-07-05 14:20:08 | INFO  | part3_hmm | top VERB emissions: [('is', 0.04084320135855887), ('was', 0.04006528404150926), ('be', 0.025981421504075168), ('had', 0.020683448665083714), ('are', 0.017388740028167725)]
2026-07-05 14:20:08 | INFO  | part3_hmm | --- viterbi decode on test set ---
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 500/11468 elapsed_s=0.0800
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 1000/11468 elapsed_s=0.1530
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 1500/11468 elapsed_s=0.2220
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 2000/11468 elapsed_s=0.2950
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 2500/11468 elapsed_s=0.3700
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 3000/11468 elapsed_s=0.4470
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 3500/11468 elapsed_s=0.5270
2026-07-05 14:20:08 | INFO  | part3_hmm | decode 4000/11468 elapsed_s=0.5980
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 4500/11468 elapsed_s=0.6700
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 5000/11468 elapsed_s=0.7420
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 5500/11468 elapsed_s=0.8150
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 6000/11468 elapsed_s=0.9730
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 6500/11468 elapsed_s=1.0430
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 7000/11468 elapsed_s=1.1170
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 7500/11468 elapsed_s=1.1910
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 8000/11468 elapsed_s=1.2650
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 8500/11468 elapsed_s=1.3410
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 9000/11468 elapsed_s=1.4150
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 9500/11468 elapsed_s=1.4860
2026-07-05 14:20:09 | INFO  | part3_hmm | decode 10000/11468 elapsed_s=1.5560
2026-07-05 14:20:10 | INFO  | part3_hmm | decode 10500/11468 elapsed_s=1.6280
2026-07-05 14:20:10 | INFO  | part3_hmm | decode 11000/11468 elapsed_s=1.7033
2026-07-05 14:20:10 | INFO  | part3_hmm | decode 11468/11468 elapsed_s=1.7703
2026-07-05 14:20:10 | INFO  | part3_hmm | --- evaluate ---
2026-07-05 14:20:10 | INFO  | part3_hmm | accuracy overall=0.9402 seen=0.9482 unseen=0.6308
2026-07-05 14:20:10 | INFO  | part3_hmm | --- error analysis ---
2026-07-05 14:20:10 | INFO  | part3_hmm | error_type_counts={'lexical ambiguity': 5, 'sparse transition': 3, 'OOV': 2}
2026-07-05 14:20:10 | INFO  | part3_hmm | part 3 done - artifacts written to artifacts/part3_hmm and outputs/
